AccSpeciesName,TraitName,ValueKindName,StdValue,UnitName
Clarkia unguiculata,Seed dry mass,Single,0.7,mg
Clarkia unguiculata,Seed dry mass,Single,0.3,mg
Clarkia unguiculata,Seed dry mass,Single,0.36,mg
Clarkia unguiculata,Seed dry mass,Single,0.36,mg
Clarkia unguiculata,Seed dry mass,Single,0.38,mg
Clarkia unguiculata,Seed dry mass,Single,0.17,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.17,mg
Clarkia unguiculata,Seed dry mass,Single,0.17,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia unguiculata,Seed dry mass,Single,0.4,mg
Clarkia unguiculata,Seed dry mass,Single,0.32,mg
Clarkia williamsonii,Seed dry mass,Single,0.345,mg
Clarkia williamsonii,Seed dry mass,Single,0.716,mg
Clarkia williamsonii,Seed dry mass,Single,0.531,mg
Clarkia williamsonii,Seed dry mass,Single,0.531,mg
Clarkia williamsonii,Seed dry mass,Single,0.531,mg
Clarkia williamsonii,Seed dry mass,Single,0.531,mg
Clarkia williamsonii,Seed dry mass,Single,0.531,mg
Clarkia williamsonii,Seed dry mass,Single,0.531,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Clarkia xantiana,Seed dry mass,Single,0.125,mg
Claytonia parviflora,Seed dry mass,Single,0.175,mg
Claytonia parviflora,Seed dry mass,Single,0.254,mg
Claytonia parviflora,Seed dry mass,Single,0.215,mg
Claytonia parviflora,Seed dry mass,Single,0.215,mg
Claytonia perfoliata,Seed dry mass,Single,0.37,mg
Claytonia perfoliata,Seed dry mass,Single,0.431,mg
Claytonia perfoliata,Seed dry mass,Single,0.221,mg
Claytonia perfoliata,Seed dry mass,Single,0.8,mg
Claytonia perfoliata,Seed dry mass,Single,1.907,mg
Claytonia perfoliata,Seed dry mass,Single,2.206,mg
Claytonia perfoliata,Seed dry mass,Best estimate,0.581,mg
Claytonia perfoliata,Seed dry mass,Best estimate,0.64,mg
Claytonia perfoliata,Seed dry mass,Best estimate,0.488,mg
Claytonia perfoliata,Seed dry mass,Single,0.411762265,mg
Claytonia perfoliata,Seed dry mass,Single,0.9,mg
Claytonia perfoliata,Seed dry mass,Single,0.54,mg
Claytonia perfoliata,Seed dry mass,Single,0.9,mg
Claytonia perfoliata,Seed dry mass,Single,0.54,mg
Claytonia perfoliata,Seed dry mass,Single,2.2,mg
Claytonia perfoliata,Seed dry mass,Single,2.2,mg
Claytonia perfoliata,Seed dry mass,Single,0.8,mg
Claytonia perfoliata,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.3,mg
Collinsia heterophylla,Seed dry mass,Single,0.9,mg
Collinsia heterophylla,Seed dry mass,Single,0.924,mg
Collinsia heterophylla,Seed dry mass,Single,1.064,mg
Collinsia heterophylla,Seed dry mass,Single,1.531,mg
Collinsia heterophylla,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.1,mg
Collinsia heterophylla,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.1,mg
Collinsia heterophylla,Seed dry mass,Single,0.9,mg
Collinsia heterophylla,Seed dry mass,Single,0.9,mg
Collinsia heterophylla,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.1,mg
Collinsia heterophylla,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.1,mg
Collinsia heterophylla,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.1,mg
Collinsia heterophylla,Seed dry mass,Single,0.8,mg
Collinsia heterophylla,Seed dry mass,Single,1.1,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Collinsia parryi,Seed dry mass,Single,0.92,mg
Lolium perenne,Leaf nitrogen (N) content per leaf dry mass,Single,32.7,mg/g
Lolium perenne,Leaf nitrogen (N) content per leaf dry mass,Single,32.7,mg/g
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.29024,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.28523,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.33968,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.21796,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.29024,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.278,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.278,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.269,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.269,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.325,g g-1
Bromus hordeaceus,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.325,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.05513,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.054,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.05909,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.04906,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.05513,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.059,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.059,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.062,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.062,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.072,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.072,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.05717,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.05719,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.07326,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.04334,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.05717,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.06809,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.07186,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.09526,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.05931,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.06809,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.05228,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.05166,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.0665,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.03783,g g-1
Claytonia perfoliata,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.05228,g g-1
Festuca arundinacea,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.241,g g-1
Festuca arundinacea,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.241,g g-1
Festuca arundinacea,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.227,g g-1
Festuca arundinacea,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.227,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.2,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.2,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.23259,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.23865,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.30245,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.18295,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.23259,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.206,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.206,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.219,g g-1
Lolium perenne,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.219,g g-1
Phacelia tanacetifolia,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.13155,g g-1
Phacelia tanacetifolia,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.13086,g g-1
Phacelia tanacetifolia,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Maximum,0.13985,g g-1
Phacelia tanacetifolia,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Minimum,0.12025,g g-1
Phacelia tanacetifolia,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Median,0.13155,g g-1
Stellaria media,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.099,g g-1
Stellaria media,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.099,g g-1
Stellaria media,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.069,g g-1
Stellaria media,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.069,g g-1
Stellaria neglecta,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.112,g g-1
Stellaria neglecta,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.112,g g-1
Stellaria neglecta,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.056,g g-1
Stellaria neglecta,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.056,g g-1
Stellaria pallida,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.138,g g-1
Stellaria pallida,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.138,g g-1
Stellaria pallida,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.1,g g-1
Stellaria pallida,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.1,g g-1
Vulpia myuros,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.307,g g-1
Vulpia myuros,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.307,g g-1
Vulpia myuros,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Best estimate,0.237,g g-1
Vulpia myuros,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",Mean,0.237,g g-1
Bromus hordeaceus,"Leaf area (in case of compound leaves: leaflet, petiole included)",Best estimate,59,mm2
Bromus hordeaceus,"Leaf area (in case of compound leaves: leaflet, petiole included)",Mean,59,mm2
Claytonia perfoliata,"Leaf area (in case of compound leaves: leaflet, petiole included)",Best estimate,958,mm2
